Feature,F_Score,L1_Coef
pupil_slope_pre,311.74574825900976,0.33552558615412464
pupil_std_pre,194.73183032980882,0.13395166930183447
pct_time_dilating_pre,137.5976243649676,0.0747254098324895
time_to_peak_pre,110.50574770807432,0.0013277072359507316
num_dilation_peaks_pre,85.38045476497322,0.00037403449204452126
pupil_velocity_mean_pre,78.11182889448567,0.024781722888324694
pupil_max_constriction_rate_pre,54.353377671004715,0.06425330528552052
pupil_mean_pre,32.16600143229799,0.00188622026415976
pupil_acceleration_std_pre,17.685480908970053,0.1177533930778347
pupil_max_dilation_rate_pre,3.902876958091687,0.07768879299695289
eye_asymmetry_pre,0.21745791085700222,0.05427104228216969
eye_asymmetry_std_pre,0.13043042941122748,0.05469336640718399
pupil_cv_pre,0.10592961992793902,0.005743732725521089
