subject_id,visit_number,team,user_id,aversion,coupling_score,beta_gaze_y_std,beta_gaze_y_mean,beta_gaze_x_std
0731_1000_U9TEJGM,1.0,Team 6,U9TEJGM,0.30989956958393117,0.006698743551102543,-0.008382478729272915,0.007003512591472422,0.004710239332562291
0802_1400_U9TEJGM,2.0,Team 4,U9TEJGM,0.5190700104493209,0.003106721493998999,-0.0035416104683498205,-0.0006235936085202586,0.0051549604051269165
0811_1000_4LI8GO7,1.0,Team 8,4LI8GO7,-0.21585365853658534,0.0029450255332098886,-0.004919551205632951,0.0023562284762332526,-0.0015592969177634622
0811_1000_U9TEJGM,1.0,Team 8,U9TEJGM,0.4367816091954023,0.011043285353775795,-0.0007815341317225687,0.010324278246275862,0.022024043683328956
0813_1000_9M4VCHG,1.0,Team 10,9M4VCHG,0.3170731707317073,0.004780172510603279,-0.0018810512116492135,0.010020658294406414,-0.0024388080257542097
0813_1000_U9TEJGM,1.0,Team 10,U9TEJGM,0.5425444596443229,0.007098306347844716,-0.007551264336449736,0.010697406209534232,-0.003046248497550181
0816_1400_539136F,2.0,Team 12,539136F,0.19999999999999996,0.00786876400154031,-0.004043231112281251,0.011854865200103929,0.007708195692235747
0816_1400_9M4VCHG,2.0,Team 12,9M4VCHG,-0.046224519092736116,0.0025565296338310914,-0.0014982134044091485,0.0054208246284967775,0.0007505508685873478
0816_1400_U9TEJGM,2.0,Team 12,U9TEJGM,0.1351118760757315,0.00432405738707371,-0.002251604055505559,0.00797876877427766,0.0027417993314379123
0817_1000_539136F,1.0,Team 14,539136F,0.312957157784744,0.0061944253303374925,-0.0038834820734942326,0.009494422823494124,0.005205371094024119
0817_1000_9M4VCHG,1.0,Team 14,9M4VCHG,0.03840125391849525,0.006157013647200272,-0.0016752241115355342,0.013725427143692102,-0.003070389686373179
0817_1000_U9TEJGM,1.0,Team 14,U9TEJGM,0.2510944340212633,0.006820191567213416,-0.004656110023115807,0.008304539148903748,0.007499925529620692
0818_1600_539136F,1.0,Team 7,539136F,0.36363636363636365,0.005472145401854203,-0.003499001761761413,0.0013300100489104687,0.011587424394890725
0818_1600_9M4VCHG,1.0,Team 7,9M4VCHG,0.33917467495760323,0.008703920304604753,0.004140893502130778,0.015272079850671305,0.006698787561012178
