team,user_id,subj_v1,subj_v2,aversion_v1,aversion_v2,coupling_v1,coupling_v2,delta_aversion,delta_coupling
Team 15,9M4VCHG,0819_1400_9M4VCHG,0823_1400_9M4VCHG,0.23290043290043294,0.0,0.005845727636221582,0.0015973016465681371,-0.23290043290043294,-0.004248425989653444
Team 15,539136F,0819_1400_539136F,0823_1400_539136F,0.40697674418604646,0.3789640591966173,0.004309252261931608,0.005208483246003295,-0.02801268498942916,0.000899230984071687
Team 16,U9TEJGM,0827_1000_U9TEJGM,0828_1300_U9TEJGM,0.12466124661246614,0.15372670807453426,0.009409406960469142,0.010541773401217236,0.02906546146206812,0.0011323664407480935
Team 16,9M4VCHG,0827_1000_9M4VCHG,0828_1300_9M4VCHG,0.5525078369905956,-0.0060455192034139515,0.005969227411276798,0.0049520344778614675,-0.5585533561940095,-0.0010171929334153304
Team 21,U9TEJGM,0830_1300_U9TEJGM,0831_1300_U9TEJGM,0.6046511627906976,0.6744186046511628,0.009597683831521604,0.011935546053997706,0.06976744186046513,0.0023378622224761014
Team 21,9M4VCHG,0830_1300_9M4VCHG,0831_1300_9M4VCHG,0.48275862068965514,0.3737179487179487,0.009937413808598236,0.005953646948155158,-0.10904067197170642,-0.0039837668604430785
Team 21,539136F,0830_1300_539136F,0831_1300_539136F,0.3394548063127689,0.14164904862579275,0.005615560405369338,0.004783981120841376,-0.19780575768697617,-0.0008315792845279626
Team 22,U9TEJGM,0915_1000_U9TEJGM,0917_1030_U9TEJGM,0.5143859649122807,0.3695187165775401,0.002640635005108799,0.004749432590376875,-0.14486724833474063,0.0021087975852680757
Team 22,9M4VCHG,0915_1000_9M4VCHG,0917_1030_9M4VCHG,0.05747126436781613,0.0,0.006661220219522834,0.0025859714677260435,-0.05747126436781613,-0.00407524875179679
Team 22,539136F,0915_1000_539136F,0917_1030_539136F,0.20224358974358975,0.026162790697674465,0.010858324707219681,0.0029390356970461547,-0.17608079904591528,-0.007919289010173526
Team 23,U9TEJGM,0922_1000_U9TEJGM,0923_1000_U9TEJGM,0.23506539413220218,-0.19696969696969702,0.0035945546235508254,0.004737622720241817,-0.4320350911018992,0.0011430680966909917
Team 23,9M4VCHG,0922_1000_9M4VCHG,0923_1000_9M4VCHG,-0.004105090311986914,0.09090909090909094,0.004962439531005646,0.006262227699551888,0.09501418122107785,0.0012997881685462426
Team 23,539136F,0922_1000_539136F,0923_1000_539136F,0.21598837209302324,0.06896551724137934,0.006957576764610921,0.006446059396589647,-0.1470228548516439,-0.0005115173680212736
Team 24,U9TEJGM,0920_1600_U9TEJGM,0923_1600_U9TEJGM,0.4761904761904762,0.40164158686730506,0.004178282870507417,0.007588078237927387,-0.07454888932317116,0.0034097953674199696
Team 24,539136F,0920_1600_539136F,0923_1600_539136F,0.5517241379310345,0.09237804878048783,0.007696221908980782,0.004571436443803368,-0.45934608915054664,-0.0031247854651774137
Team 25,U9TEJGM,0927_0930_U9TEJGM,0930_1700_U9TEJGM,0.1603415559772296,0.2560975609756098,0.001463464648116853,0.0037831654343578798,0.09575600499838022,0.0023197007862410268
Team 25,539136F,0927_0930_539136F,0930_1700_539136F,0.4772727272727273,0.0,0.008544243164905197,0.005905046444542972,-0.4772727272727273,-0.0026391967203622255
Team 26,U9TEJGM,0928_1600_U9TEJGM,1005_1600_U9TEJGM,0.3114754098360656,0.0,0.004779052345268827,0.0010377379268552915,-0.3114754098360656,-0.0037413144184135355
Team 26,9M4VCHG,0928_1600_9M4VCHG,1005_1600_9M4VCHG,0.5384615384615384,0.28915662650602414,0.005749646290612517,0.0074402473104405635,-0.2493049119555143,0.0016906010198280462
